acl;2.3.1;https://download.savannah.gnu.org/releases/acl/acl-@.tar.xz
attr;2.5.1;https://download.savannah.gnu.org/releases/attr/attr-@.tar.gz
autoconf;2.71;https://ftp.gnu.org/gnu/autoconf/autoconf-@.tar.xz
automake;1.16.5;https://ftp.gnu.org/gnu/automake/automake-@.tar.xz
bash;5.1.16;https://ftp.gnu.org/gnu/bash/bash-@.tar.gz
bc;6.0.1;https://github.com/gavinhoward/bc/releases/download/@/bc-@.tar.xz
binutils;2.39;https://ftp.gnu.org/gnu/binutils/binutils-@.tar.xz
bison;3.8.2;https://ftp.gnu.org/gnu/bison/bison-@.tar.xz
bzip2;1.0.8;https://www.sourceware.org/pub/bzip2/bzip2-@.tar.gz
bzip2;1.0.8;http://192.168.1.2/bzip2-@-install_docs-1.patch
check;0.15.2;https://github.com/libcheck/check/releases/download/@/check-@.tar.gz
coreutils;9.1;https://ftp.gnu.org/gnu/coreutils/coreutils-@.tar.xz
coreutils;9.1;http://192.168.1.2/coreutils-@-i18n-1.patch
dejagnu;1.6.3;https://ftp.gnu.org/gnu/dejagnu/dejagnu-@.tar.gz
diffutils;3.8;https://ftp.gnu.org/gnu/diffutils/diffutils-@.tar.xz
e2fsprogs;1.46.5;https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v@/e2fsprogs-@.tar.gz
elfutils;0.187;https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2
libelf;0.187;https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2
eudev;3.2.11;https://github.com/eudev-project/eudev/releases/download/v@/eudev-@.tar.gz
expat;2.4.8;http://192.168.1.2/expat-@.tar.xz 
expect;5.45.4;https://prdownloads.sourceforge.net/expect/expect@.tar.gz
file;5.42;https://astron.com/pub/file/file-@.tar.gz
findutils;4.9.0;https://ftp.gnu.org/gnu/findutils/findutils-@.tar.xz
flex;2.6.4;https://github.com/westes/flex/releases/download/v@/flex-@.tar.gz
gawk;5.1.1;https://ftp.gnu.org/gnu/gawk/gawk-@.tar.xz
gcc;12.2.0;https://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz
gdbm;1.23;https://ftp.gnu.org/gnu/gdbm/gdbm-@.tar.gz
gettext;0.21;https://ftp.gnu.org/gnu/gettext/gettext-@.tar.xz
glibc;2.36;https://ftp.gnu.org/gnu/glibc/glibc-@.tar.xz
glibc;2.36;http://192.168.1.2/glibc-@-fhs-1.patch
libstdc++;12.2.0;https://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz
gmp;6.2.1;https://ftp.gnu.org/gnu/gmp/gmp-@.tar.xz
gperf;3.1;https://ftp.gnu.org/gnu/gperf/gperf-@.tar.gz
grep;3.7;https://ftp.gnu.org/gnu/grep/grep-@.tar.xz
groff;1.22.4;https://ftp.gnu.org/gnu/groff/groff-@.tar.gz
grub;2.06;https://ftp.gnu.org/gnu/grub/grub-@.tar.xz
gzip;1.12;https://ftp.gnu.org/gnu/gzip/gzip-@.tar.xz
iana-etc;20220812;https://github.com/mic92/iana-etc/releases/download/@/iana-etc-@.tar.gz
inetutils;2.3;https://ftp.gnu.org/gnu/inetutils/inetutils-@.tar.xz
intltool;0.51.0;https://launchpad.net/intltool/trunk/@/+download/intltool-@.tar.gz
iproute2;5.19.0;https://www.kernel.org/pub/linux/utils/net/iproute2/iproute2-@.tar.xz
kbd;2.5.1;https://www.kernel.org/pub/linux/utils/kbd/kbd-@.tar.xz
kbd;2.5.1;http://192.168.1.2/kbd-@-backspace-1.patch
kmod;30;https://www.kernel.org/pub/linux/utils/kernel/kmod/kmod-@.tar.xz
less;590;https://www.greenwoodsoftware.com/less/less-@.tar.gz
lfs-bootscripts;20220723;https://www.linuxfromscratch.org/lfs/downloads/11.2/lfs-bootscripts-@.tar.xz
libcap;2.65;https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-@.tar.xz
libffi;3.4.2;https://github.com/libffi/libffi/releases/download/v@/libffi-@.tar.gz
libpipeline;1.5.6;https://download.savannah.gnu.org/releases/libpipeline/libpipeline-@.tar.gz
libtool;2.4.7;https://ftp.gnu.org/gnu/libtool/libtool-@.tar.xz
linux;5.19.2;https://www.kernel.org/pub/linux/kernel/v5.x/linux-@.tar.xz
m4;1.4.19;https://ftp.gnu.org/gnu/m4/m4-@.tar.xz
make;4.3;https://ftp.gnu.org/gnu/make/make-@.tar.gz
man-db;2.10.2;https://download.savannah.gnu.org/releases/man-db/man-db-@.tar.xz
man-pages;5.13;https://www.kernel.org/pub/linux/docs/man-pages/man-pages-@.tar.xz
meson;0.63.1;https://github.com/mesonbuild/meson/releases/download/@/meson-@.tar.gz
mpc;1.2.1;https://ftp.gnu.org/gnu/mpc/mpc-@.tar.gz
mpfr;4.1.0;https://ftp.gnu.org/gnu/mpfr/mpfr-@.tar.xz
ncurses;6.3;https://invisible-mirror.net/archives/ncurses/ncurses-@.tar.gz
ninja;1.11.0;https://github.com/ninja-build/ninja/archive/v@/ninja-@.tar.gz
openssl;3.0.5;https://www.openssl.org/source/openssl-@.tar.gz
patch;2.7.6;https://ftp.gnu.org/gnu/patch/patch-@.tar.xz
perl;5.36.0;https://www.cpan.org/src/5.0/perl-@.tar.xz
pkg-config;0.29.2;https://pkg-config.freedesktop.org/releases/pkg-config-@.tar.gz
procps-ng;4.0.0;https://sourceforge.net/projects/procps-ng/files/Production/procps-ng-@.tar.xz
psmisc;23.5;https://sourceforge.net/projects/psmisc/files/psmisc/psmisc-@.tar.xz
python;3.10.6;https://www.python.org/ftp/python/@/Python-@.tar.xz
python documentation;3.10.6;https://www.python.org/ftp/python/doc/@/python-@-docs-html.tar.bz2
readline;8.1.2;https://ftp.gnu.org/gnu/readline/readline-@.tar.gz
sed;4.8;https://ftp.gnu.org/gnu/sed/sed-@.tar.xz
shadow;4.12.2;https://github.com/shadow-maint/shadow/releases/download/@/shadow-@.tar.xz
sysklogd;1.5.1;https://www.infodrom.org/projects/sysklogd/download/sysklogd-@.tar.gz
sysvinit;3.04;https://download.savannah.gnu.org/releases/sysvinit/sysvinit-@.tar.xz
sysvinit;3.04;http://192.168.1.2/sysvinit-@-consolidated-1.patch
tar;1.34;https://ftp.gnu.org/gnu/tar/tar-@.tar.xz
tcl;8.6.12;https://downloads.sourceforge.net/tcl/tcl@-src.tar.gz
tcl documentation;8.6.12;https://downloads.sourceforge.net/tcl/tcl@-html.tar.gz
texinfo;6.8;https://ftp.gnu.org/gnu/texinfo/texinfo-@.tar.xz
time zone data;2022c;https://www.iana.org/time-zones/repository/releases/tzdata@.tar.gz
udev-lfs tarball;udev-lfs-20171102;https://anduin.linuxfromscratch.org/LFS/@.tar.xz
util-linux;2.38.1;https://www.kernel.org/pub/linux/utils/util-linux/v2.38/util-linux-@.tar.xz
vim;9.0.0228;https://anduin.linuxfromscratch.org/LFS/vim-@.tar.gz
wheel;0.37.1;https://anduin.linuxfromscratch.org/LFS/wheel-@.tar.gz
xml::parser;2.46;https://cpan.metacpan.org/authors/id/T/TO/TODDR/XML-Parser-@.tar.gz
xz;5.2.6;http://192.168.1.2/xz-@.tar.gz
zlib;1.2.13;https://zlib.net/zlib-@.tar.xz
zstd;1.5.2;https://github.com/facebook/zstd/releases/download/v@/zstd-@.tar.gz
zstd;1.5.2;http://192.168.1.2/zstd-@-upstream_fixes-1.patch
